,"MD","TEMPLATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","TEMPLATE","HVAC","Roof Top Unit","","N/A","N/A","","","","","Num","Tons","YYYY","","","","YORN","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","","","TEMPLATE KEY","R-12","","","MD","TEMPLATE","T0003","(763) 533-2231","5537 W Broadway Ave  Crystal, MN ","Crystal","MN","55428","100","191","131","PFresh","T0003.PMT@Target.com","","","","7",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEMPLATE","HVAC","Dehumidification Unit","","N/A","N/A","","","","","Num","Tons","YYYY","","","","YORN","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","","","TEMPLATE KEY","R-134A","","","MD","TEMPLATE","T0004","(218) 727-8851","1902 Miller Trunk Hwy  Duluth, MN ","Duluth","MN","55811","100","199","124","PFresh","T0004.PMT@Target.com","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEMPLATE","HVAC","Air Handling Unit","","N/A","N/A","","","","","Num","CFM","YYYY","N/A","N/A","N/A","YORN","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","TEMPLATE KEY","R-22","","","MD","TEMPLATE","T0005","(952) 888-7701","2555 W 79th St  Bloomington, MN ","Bloomington","MN","55431","100","191","163","PFresh","T0005.PMT@Target.com","","","","2",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEMPLATE","HVAC","Fan Coil Unit","","N/A","N/A","","","","","Num","CFM","YYYY","","","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","TEMPLATE KEY","R-290","","","MD","TEMPLATE","T0012","(314) 291-0600","12275 St Charles Rock Rd  Bridgeton, MO ","Bridgeton","MO","63044","100","194","117","PFresh","T0012.PMT@Target.com","","","","1",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEMPLATE","HVAC","Forced Air Furnace","","N/A","N/A","","","","","Num","MBH","YYYY","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","TEMPLATE KEY","R-401A","","","MD","TEMPLATE","T0013","(972) 239-8161","13131 Montfort Dr  Dallas, TX ","North Dallas","TX","75240","300","391","352","PFresh","T0013.PMT@Target.com","2/27/2017","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEMPLATE","HVAC","Chiller","","N/A","N/A","","","","","Num","Tons","YYYY","","","","N/A","","","YORN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","TEMPLATE KEY","R-402A","","","MD","TEMPLATE","T0019","(918) 744-1701","1701 S Yale Ave  Tulsa, OK ","Tulsa","OK","74112","300","397","368","PFresh","T0019.PMT@Target.com","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEMPLATE","HVAC","Cooling Tower","","N/A","N/A","","","","","Num","Tons","YYYY","N/A","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","TEMPLATE KEY","R-402B","","","MD","TEMPLATE","T0024","(414) 282-1000","4777 S 27th St  Greenfield, WI ","Greenfield","WI","53221","100","196","110","PFresh","T0024.PMT@Target.com","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEMPLATE","HVAC","Air Cooled Condenser","","N/A","N/A","","","","","Num","Tons","YYYY","","N/A","N/A","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","","","TEMPLATE KEY","R-403B","","","MD","TEMPLATE","T0026","(636) 391-7500","15025 Manchester Rd  Ballwin, MO ","Ballwin","MO","63011","100","194","117","PFresh","T0026.PMT@Target.com","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEMPLATE","HVAC","Boiler","","N/A","N/A","","","","","Num","MBH","YYYY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","TEMPLATE KEY","R-404A","","","MD","TEMPLATE","T0043","(405) 947-6761","5400 N May Ave  Oklahoma City, OK ","Oklahoma City North","OK","73112","300","397","301","PFresh","T0043.PMT@Target.com","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TEMPLATE","HVAC","Heat Pump","","N/A","N/A","","","","","Num","Tons","YYYY","","","","N/A","","","N/A","YORN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","","","TEMPLATE KEY","R-407A","","","MD","TEMPLATE","T0048","(303) 425-0124","7899 Wadsworth Blvd  Arvada, CO ","Arvada","CO","80003","200","297","252","PFresh","T0048.PMT@Target.com","","","","",""
